Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Aguascalientes,PRI,Miguel Angel Barberena Vega,1986-12-01,1992-11-30,https://upload.wikimedia.org/wikipedia/commons/9/92/Almirantebarberena.JPG,
Aguascalientes,PRI,Otto Granados Roldán,1992-12-01,1998-11-30,http://crisolplural.com/wp-content/uploads/2013/06/Otto-Granados-Rold%C3%A1n.jpg,
Aguascalientes,PAN,Felipe González González,1998-12-01,2004-08-25,,
Aguascalientes,PAN,Juan José León Rubio,2004-08-26,2004-11-30,,
Aguascalientes,PAN,Luis Armando Reynoso Femat,2004-12-01,2010-11-30,,
Aguascalientes,PRI,Carlos Lozano de la Torre,2010-12-01,,,
Quintana Roo,PRI,Mario Villanueva Madrid,1993-04-05,1999-04-04,,
Quintana Roo,PRI,Joaquín Ernesto Hendricks Díaz,1999-04-05,2005-04-04,,
Quintana Roo,PRI,Félix González Canto,2005-04-05,2011-04-04,,
Quintana Roo,PRI,Roberto Borge Angulo,2011-04-05,,,
Distrito Federal,PRD,Cuauhtémoc Cárdenas,1997-12-05,1999-09-28,,
Distrito Federal,PRD,Rosario Robles,1999-09-29,2000-12-04,,
Distrito Federal,PRD,Andrés Manuel López Obrador,2000-12-05,2005-07-29,,
Distrito Federal,PRD,Alejandro Encinas Rodríguez,2005-07-30,2006-12-04,,
Distrito Federal,PRD,Marcelo Ebrard,2006-12-05,2012-12-04,,
Distrito Federal,PRD,Miguel Ángel Mancera,2012-12-05,,,
Coahuila,PRI,Rogelio Montemayor Seguy,1993-12-01,1999-11-30,,
Coahuila,PRI,Enrique Martínez y Martínez,1999-12-01,2005-12-02,,
Coahuila,PRI,Humberto Moreira,2005-12-01,2011-01-04,,
Coahuila,PRI,Jorge Torres López,2011-01-05,2011-12-01,,
Coahuila,PRI,Rubén Moreira Valdez,2011-12-02,,,
