Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Aguascalientes,PRI,Miguel Angel Barberena Vega,1986-12-01,1992-11-30,https://upload.wikimedia.org/wikipedia/commons/9/92/Almirantebarberena.JPG,
Aguascalientes,PRI,Otto Granados Roldán,1992-12-01,1998-11-30,http://crisolplural.com/wp-content/uploads/2013/06/Otto-Granados-Rold%C3%A1n.jpg,
Aguascalientes,PAN,Felipe González González,1998-12-01,2004-08-25,http://lasnoticiasya.com/wp-content/uploads/2013/03/Foto-14-03-13-02-14-31.jpg,
Aguascalientes,PAN,Juan José León Rubio,2004-08-26,2004-11-30,http://2.bp.blogspot.com/_yfPnyXkNkao/TUcD2xwkvfI/AAAAAAAAFN8/KYcfv0eUih4/s1600/DSCF0298%255B1%255D.JPG,
Aguascalientes,PAN,Luis Armando Reynoso Femat,2004-12-01,2010-11-30,http://crisolplural.com/wp-content/uploads/2010/09/luis-armando-reynoso-femat.jpg,
Aguascalientes,PRI,Carlos Lozano de la Torre,2010-12-01,,http://elclarinete.com.mx/wp-content/uploads/2015/06/IMG_5830.jpg,
Quintana Roo,PRI,Mario Villanueva Madrid,1993-04-05,1999-04-04,http://noticias.starmedia.com/imagenes/2012/08/mario-villanueva.jpg,
Quintana Roo,PRI,Joaquín Ernesto Hendricks Díaz,1999-04-05,2005-04-04,http://cancun.gob.mx/sala-de-prensa/files/2014/09/Joaqui_n-Ernesto-Hendricks-Di_az.jpg,
Quintana Roo,PRI,Félix González Canto,2005-04-05,2011-04-04,http://www.elgriton.com.mx/inicio/wp-content/uploads/2013/07/felixGonzalezCanto.jpg,
Quintana Roo,PRI,Roberto Borge Angulo,2011-04-05,,http://www.ecosistemapolitico.com/wp-content/uploads/2015/01/El-Gobernador-Roberto-Borge-Ordena-Mantenimiento-De-Playas-En-Cancun-2.jpg,
Distrito Federal,PRD,Cuauhtémoc Cárdenas,1997-12-05,1999-09-28,http://www.eluniversal.com.mx/img/2011/01/Nac/00cuauhtemoc-cardenas.jpg,
Distrito Federal,PRD,Rosario Robles,1999-09-29,2000-12-04,https://upload.wikimedia.org/wikipedia/commons/9/9e/Rosario-Robles.jpg,
Distrito Federal,PRD,Andrés Manuel López Obrador,2000-12-05,2005-07-29,http://api.ning.com/files/NFpLPbeZNYBpxY7bQ2mZwZlGW544*JY9rZ8G5onNMzfdmBgyC84iAB2mql8UoMvsXKQ6G6nJA-xkTbdwYlGB6xFekIaSNjpN/Obrador.jpg,
Distrito Federal,PRD,Alejandro Encinas Rodríguez,2005-07-30,2006-12-04,http://prd.senado.gob.mx/wp/wp-content/uploads/2014/05/encinas1.jpg,
Distrito Federal,PRD,Marcelo Ebrard,2006-12-05,2012-12-04,http://mexico.cnn.com/media/2011/04/27/marcelo-ebrard.jpg,
Distrito Federal,PRD,Miguel Ángel Mancera,2012-12-05,,http://static.quien.com/media/2012/09/12/mancera1.jpg,
Coahuila,PRI,Rogelio Montemayor Seguy,1993-12-01,1999-11-30,http://www.eldiariodecoahuila.com.mx/fotografias/fotosnoticias/2011/12/2/int-111673.jpg,
Coahuila,PRI,Enrique Martínez y Martínez,1999-12-01,2005-12-02,https://upload.wikimedia.org/wikipedia/commons/e/ec/Enrique-Martinez-y-Mart%C3%ADnez.jpg,
Coahuila,PRI,Humberto Moreira,2005-12-01,2011-01-04,http://pulso-ciudadano.com/wp-content/uploads/2014/08/Humberto-Moreira.jpg,
Coahuila,PRI,Jorge Torres López,2011-01-05,2011-12-01,http://columnatamaulipas.com/wp-content/uploads/2013/09/F133.jpg,
Coahuila,PRI,Rubén Moreira Valdez,2011-12-02,,http://www.eldiariodecoahuila.com.mx/fotografias/fotosnoticias/2011/11/15/int-108743.jpg,
Chihuahua,PAN,Francisco Barrio,1992-10-04,1998-10-03,http://img.informador.com.mx/biblioteca/imagen/370x277/162/161214.jpg,
Chihuahua,PRI,Patricio Martínez García,1998-10-04,2004-10-03,http://static.adnpolitico.com/media/2012/11/13/patricio-martnez-perfil.jpg,
Chihuahua,PRI,José Reyes Baeza Terrazas,2004-10-04,2010-10-03,http://www.globalinfo.mx/wp-content/uploads/2015/08/reyes-baeza-665x437.jpg,
Chihuahua,PRI,César Horacio Duarte Jáquez,2010-10-04,,http://www.alcaldesdemexico.com/wp-content/uploads/2014/12/Cesar-Horacio-duarte-Jaquez.jpg,
Baja California,PAN,Ernesto Ruffo Appel,1989-11-01,1995-10-31,http://www.pan.senado.gob.mx/wp-content/uploads/2013/07/Ruffo-Appel-Ernesto-240x300.jpg,
Baja California,PAN,Héctor Terán Terán,1995-11-01,1998-10-04,http://enlaceinformativo.net/admin/noticias/031014/28413.jpeg,
Baja California,PAN,Alejandro González Alcocer,1998-10-05,2001-10-31,http://snn.imer.gob.mx/antenaradio/files/2009/10/alejandro_gonzalez_alcocer.jpg,
Baja California,PAN,Eugenio Elorduy Walther,2001-11-01,2007-10-31,https://a4-images.myspacecdn.com/images03/22/ce46b6bec3d6416b9c905388f91a6aaf/300x300.jpg,
Baja California,PAN,José Guadalupe Osuna Millán,2007-11-01,2013-11-01,http://bgc2012.com/wp-content/uploads/2012/05/gob_bc.jpg,
Baja California,PAN,Francisco Vega de Lamadrid,2013-11-02,,http://reporteglobal.mx/wp-content/uploads/2015/03/misogino.jpg,
Baja California Sur,PRI,Victor Manuel Liceaga Ruibal,1987-04-05,1993-04-04,http://1.bp.blogspot.com/-9CI4PjvJU-k/UF_Ewm9mUtI/AAAAAAAAGa4/HwZKDHxcNMs/s1600/victor+liceaga+4.jpg,
Baja California Sur,PRI,Guillermo Mercado Romero ,1993-04-05,1999-04-04,http://3.bp.blogspot.com/-2gZqs584Xnk/UbqAyEgf4HI/AAAAAAAANDY/41gokEn248c/s1600/GUILLERMO%20MERCADO%20ROMERO%204.JPG,
Baja California Sur,PRD,Leonel Cota Montaño ,1999-04-05,2005-04-04,https://upload.wikimedia.org/wikipedia/commons/5/5f/Leonel_Cota.jpg,
Baja California Sur,PRD,Narciso Agúndez Montaño ,2005-04-05,2011-04-04,http://informadorbcs.com/wp-content/uploads/Narciso-agundez-monta%C3%B1o.jpeg,
Baja California Sur,PAN,Marcos Alberto Covarrubias Villaseñor,2011-04-05,2015-09-09,http://informadorbcs.com/wp-content/uploads/2011/06/41593_205056510880_9799_n.jpg,
Baja California Sur,PAN,Carlos Mendoza Davis ,2015-09-10,,http://www.infoeleccionesmexico.com/fotos/candidatos-gobernador/baja-california-sur/imagen-Carlos-Mendoza-Davis.jpg,
Campeche,PRI,Jorge Salomón Azar García ,1991-09-16,1997-09-15,http://www.campeche.com.mx/wp-content/uploads/2013/05/salomon-67834.jpg,
Campeche,PRI,José Antonio González Curi ,1997-09-16,2003-09-15,http://comunicacarmen.com.mx/Imagenes/cuv0020.jpg,
Campeche,PRI,Jorge Carlos Hurtado Valdez,2003-09-16,2009-09-15,http://bajopalabra.com.mx/wp-content/uploads/2015/05/Jorge-Carlos-Hurtado-Valdez.jpg,
Campeche,PRI,Fernando Ortega Bernés ,2009-09-16,2015-09-15,http://elfederalista.mx/f/2011/08/Captura-de-pantalla-2011-08-11-a-las-17.00.22.png,
Campeche,PRI,Alejandro Moreno Cárdenas,2015-09-16,,http://www.elconstituyente.mx/wp-content/uploads/2015/02/alejandro-moreno-cardenas-de-diputado-a-candidato-por-campeche.jpg,
Chiapas,PRI,José Patrocinio González Garrido ,1988-12-08,1993-01-04,http://www.redpolitica.mx/sites/default/files/305.jpg?1386178553,
Chiapas,PRI,Elmer Setzer Marseille ,1993-01-04,1994-01-18,http://entiemporealmx.files.wordpress.com/2013/01/finca.jpg,
Chiapas,PRI,Javier López Moreno ,1994-01-18,1994-12-07,,
Chiapas,PRI,Eduardo Robledo Rincón,1994-12-08,1995-02-14,https://upload.wikimedia.org/wikipedia/commons/6/6b/Erobledo.jpg,
Chiapas,PRI,Julio César Ruíz Ferro ,1995-02-15,1998-01-06,http://www.memoriapoliticademexico.org/Efemerides/1/04011998.jpg,
Chiapas,PRI,Roberto Armando Albores Guillén ,1998-01-07,2000-12-08,http://photos1.blogger.com/blogger/3545/3262/1600/ROBERTO%20ARMANDO%20ALBORES%20GUILLEN.jpg,
Chiapas,PRD,Pablo Salazar Mendiguchía ,2000-12-08,2006-12-07,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Pablo_Salazar_Mendiguch%C3%ADa.JPG/220px-Pablo_Salazar_Mendiguch%C3%ADa.JPG,
Chiapas,PRD,Juan Sabines Guerrero ,2006-12-08,2012-12-07,http://static.animalpolitico.com/wp-content/uploads/2012/10/sabines003.jpg,
Chiapas,PV,Manuel Velasco Coello,2012-12-18,,http://sipse.com/imgs/012015/20011558513a7d6med.jpg,
Colima,PRI,Carlos de la Madrid Virgen ,1991-11-01,1997-10-31,http://www.manzanillo.tv/0814/25/carlos-de-la-madrid-virgen-1.jpg,
Colima,PRI,Fernando Moreno Peña ,1997-11-01,2003-10-31,http://www.e-consulta.com/sites/default/files/styles/large/public/moreno1_4.jpg?itok=oaVMVhmj,
Colima,PRI,Carlos Flores Dueñas ,2003-11-01,2003-12-31,http://www.ecosdelacosta.com.mx/imagenes/noticias2014/Apr/2h21oz949293qdlc.jpeg,
Colima,PRI,Gustavo Alberto Vázquez Montes,2003-12-31,2005-02-24,http://vignette3.wikia.nocookie.net/asieratecoman/images/a/ae/GUSTAVO_.png/revision/latest?cb=20111130034052&path-prefix=es,
Colima,PRI,Arnoldo Ochoa González,2005-02-24,2005-05-05,http://static.adnpolitico.com/media/2012/11/13/arnoldo-ochoa-gonzalez.jpg,
