ENTIDAD,ACREDITADO 2/,ACREEDOR 3/,TIPO DE OBLIGACIÓN 4/,FECHA DE FIRMA 5/,FECHA DE INSCRIPCIÓN 6/,MONTO ORIGINAL CONTRATADO 7/,SALDO AL 30 DE JUNIO DE 2015 8/,PLAZO PACTADO (MESES) 9/,FUENTE O GARANTÍA DE PAGO 10/,DESTINO 11/
OAXACA,ZIMATLÁN DE ALVAREZ,BANOBRAS,CRÉDITO SIMPLE,03/17/1980,03/17/1980,19415,2432.25,312,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
DURANGO,NOMBRE DE DIOS,BANOBRAS,CRÉDITO SIMPLE,10/19/1981,01/08/1986,24274.37,2843.75,360,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,PROGRESO DE OBREGÓN,BANOBRAS,CRÉDITO SIMPLE,08/25/1989,08/25/1989,11851.89,1557.9,330,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
OAXACA,TRINIDAD ZAACHILA,BANOBRAS,CRÉDITO SIMPLE,01/25/1990,01/25/1990,8872000,1945.49,360,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,AGUA PRIETA,BANOBRAS,CRÉDITO SIMPLE,12/14/1995,12/14/1995,818190.15,59231.55,240,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,PUERTO PEÑASCO,BANOBRAS,CRÉDITO SIMPLE,10/30/1995,12/14/1995,1080858.3,53243.47,216,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SINALOA,DESARROLLO URBANO TRES RIOS,BANOBRAS,CRÉDITO SIMPLE,09/29/1995,12/29/1995,292499828.22,173079207.21,240,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,HUATABAMPO,BANOBRAS,CRÉDITO SIMPLE,03/26/1997,05/08/1997,9136038.16359424,0,216,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,COMISIÓN DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE SONORA,BANOBRAS,CRÉDITO SIMPLE,09/12/1997,09/12/1997,2091663.82,184895.19,216,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
MÉXICO,TEOTIHUACÁN,BBVA BANCOMER,CRÉDITO SIMPLE,09/26/1997,09/30/1997,479377.64,44639.96,216,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,"COMISIÓN DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE SONORA, SAN LUIS RIO COLORADO",BANOBRAS,CRÉDITO SIMPLE,10/01/1997,10/01/1997,10046000,1014785.57,216,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
QUINTANA ROO,INSTITUTO DE FOMENTO  A LA VIVIENDA Y REGULARIZACIÓN DE LA PROPIEDAD,BANOBRAS,CRÉDITO SIMPLE,12/08/1997,12/10/1997,9012460.52,827432.68,216,INGRESOS PROPIOS/PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
QUINTANA ROO,INSTITUTO DE VIVIENDA DEL ESTADO DE QUINTANA ROO,BANOBRAS,CRÉDITO SIMPLE,12/08/1997,12/10/1997,42922141.65,3931405.31,216,INGRESOS PROPIOS/PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
DURANGO,INSTITUTO DE LA VIVIENDA DEL ESTADO DE DURANGO,BANOBRAS,CRÉDITO SIMPLE,11/28/1997,12/11/1997,7512313.27,798948.27,216,INGRESOS PROPIOS/PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
JALISCO,"SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO",SANTANDER,CRÉDITO SIMPLE,12/17/1997,12/17/1997,23395342,558059,213,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
GUANAJUATO,COMISIÓN MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO  DE SALAMANCA,BANOBRAS,CRÉDITO SIMPLE,12/01/1997,12/18/1997,1739599.11,0,216,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,SISTEMA INTERMUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA ZONA METROPOLITANA (SIAPA),BBVA BANCOMER,CRÉDITO SIMPLE,03/23/1998,03/30/1998,70075031,5026064.82000003,216,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
GUANAJUATO,SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE  SALVATIERRA,BANOBRAS,CRÉDITO SIMPLE,12/02/1996,06/17/1998,1452504.37,190969.86,216,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
PUEBLA,SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DEL MUNICIPIO DE PUEBLA,BANOBRAS,CRÉDITO EN CUENTA CORRIENTE ,06/23/1999,06/30/1999,71410000,0,264,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,COMISIÓN ESTATAL DE SERVICIOS PÚBLICOS DE MEXICALI,BANOBRAS,CRÉDITO SIMPLE,03/30/2000,03/30/2000,1106983150,925108443,300,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,COMISIÓN ESTATAL DE DE SERVICIOS PÚBLICOS DE TIJUANA,BANOBRAS,CRÉDITO SIMPLE,01/15/2000,03/31/2000,939896088,667796132,189,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,COMISIÓN ESTATAL DE SERVICIOS PÚBLICOS DE ENSENADA,BANOBRAS,CRÉDITO SIMPLE,03/31/2000,03/31/2000,147305092,111858432,189,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
TAMAULIPAS,NUEVO LAREDO,BANOBRAS,CRÉDITO SIMPLE,03/30/2000,10/24/2000,225000000,95187838.22,280,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
COAHUILA,SISTEMA MUNICIPAL DE AGUAS Y SANEAMIENTO DE TORREÓN COAHUILA,BANOBRAS,CRÉDITO SIMPLE,11/30/2000,12/20/2000,15443202,0,258,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,IXTLÁN DEL RIO,BANOBRAS,CRÉDITO SIMPLE,01/16/2002,02/06/2002,1539195.48,0,180,PARTICIPACIONES FEDERALES ,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,02/14/2002,02/19/2002,1920000000,1563768588.70626,240,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
GUANAJUATO,GOBIERNO DEL ESTADO,BAJIO,CRÉDITO SIMPLE,12/09/2002,12/31/2002,233000000,41029540.75,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,12/18/2002,12/31/2002,289037000,163622209.16,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
DISTRITO FEDERAL,GOBIERNO DEL DISTRITO FEDERAL,BANOBRAS,CRÉDITO SIMPLE,03/28/2003,03/28/2003,632369811.72,94855471.6900001,168,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
DISTRITO FEDERAL,GOBIERNO DEL DISTRITO FEDERAL,BANOBRAS,CRÉDITO SIMPLE,03/31/2003,03/28/2003,1569377888.66,235405929.92,168,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
DISTRITO FEDERAL,GOBIERNO DEL DISTRITO FEDERAL,BANOBRAS,CRÉDITO SIMPLE,03/28/2003,03/28/2003,1726926348.98,173409210.48,168,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,07/09/2003,08/20/2003,500000000,290456431.535268,294,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SAN LUIS POTOSÍ,COMISIÓN ESTATAL DEL AGUA ,BANOBRAS,CRÉDITO EN CUENTA CORRIENTE ,08/12/2003,09/04/2003,66623356.66,0,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,GOBIERNO DEL ESTADO,COFIDAN,CRÉDITO SIMPLE,08/15/2003,10/31/2003,276158700.7,7075043,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
COAHUILA,SISTEMA MUNICIPAL DE AGUAS Y SANEAMIENTO DE PIEDRAS NEGRAS COAHUILA,COFIDAN,CRÉDITO SIMPLE,12/31/2003,12/31/2003,26500000,16439010,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,AGUA PRIETA,COFIDAN,CRÉDITO SIMPLE,07/18/2003,12/31/2003,40000000,28396161.3,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,XALISCO,BANOBRAS,CRÉDITO SIMPLE,02/23/2004,03/11/2004,10500000,2781690.77,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,GOBIERNO DEL ESTADO,SCOTIABANK INVERLAT,CRÉDITO SIMPLE,05/25/2004,05/25/2004,385791141.36,351788556.3,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,"SISTEMA DE SERVICIOS DE AGUA POTABLE, DRENAJE Y ALCANTARILLADO DE PUERTO VALLARTA",BANOBRAS,CRÉDITO SIMPLE,06/25/2004,08/19/2004,30000000,4323531.55263164,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,SAN LUIS RÍO COLORADO,COFIDAN,CRÉDITO SIMPLE,06/19/2004,09/06/2004,82000000,35264920,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
PUEBLA,CARRETERAS DE CUOTA PUEBLA,BANOBRAS,CRÉDITO SIMPLE,07/30/2004,09/24/2004,500000000,174657534.650002,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,FONDO NUEVO SONORA,BANORTE,CRÉDITO SIMPLE,10/07/2004,10/18/2004,240000000,199650206.25,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,COMISIÓN DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE SONORA,BAJIO,CRÉDITO SIMPLE,10/07/2004,10/18/2004,430000000,373873566.62,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,GOBIERNO DEL ESTADO,BBVA BANCOMER,CRÉDITO SIMPLE,10/07/2004,10/18/2004,2034431480.36,1774778166.7,300,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
SONORA,PROGRESO FIDEICOMISO PROMOTOR URBANO DE SONORA,BAJIO,CRÉDITO SIMPLE,10/07/2004,10/18/2004,515000000,447524846.03,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
COAHUILA,SISTEMA MUNICIPAL DE AGUAS Y SANEAMIENTO DE ACUÑA,COFIDAN,CRÉDITO SIMPLE,10/11/2004,10/20/2004,20500000,12113584.18,264,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,"SISTEMA DE SERVICIOS DE AGUA POTABLE, DRENAJE Y ALCANTARILLADO DE PUERTO VALLARTA",BANOBRAS,CRÉDITO SIMPLE,10/19/2004,10/21/2004,212000000,39352433.3392917,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,CELAYA,BAJIO,CRÉDITO SIMPLE,11/04/2004,11/12/2004,107500000,5657894.32000001,135,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
GUANAJUATO,TARIMORO,BANOBRAS,CRÉDITO SIMPLE,11/11/2004,11/22/2004,3132842.97,874413.279999999,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,INTERACCIONES,CRÉDITO SIMPLE,11/01/2004,12/06/2004,500000000,373917510.49,228,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,SANTANDER,CRÉDITO SIMPLE,12/03/2004,12/06/2004,1099948254.4,822579826.1,228,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,SANTANDER,CRÉDITO SIMPLE,11/29/2004,12/06/2004,1372272497,1148220593.65,240,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
MÉXICO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO EN CUENTA CORRIENTE ,11/29/2004,12/06/2004,53042898,0,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO EN CUENTA CORRIENTE ,11/29/2004,12/06/2004,60300000,0,294,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,BANAMEX,CRÉDITO SIMPLE,11/29/2004,12/06/2004,5471747052.34,4370257212.02,240,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
NAYARIT,AHUACATLÁN,BANOBRAS,CRÉDITO SIMPLE,01/21/2005,01/28/2005,11000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,SAN PEDRO LAGUNILLAS,BANOBRAS,CRÉDITO SIMPLE,01/26/2005,01/28/2005,7300000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,VILLAGRÁN,BANOBRAS,CRÉDITO SIMPLE,01/03/2005,02/15/2005,11000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,JALA,BANOBRAS,CRÉDITO SIMPLE,04/12/2005,04/14/2005,11000000,0,120,PARTICIPACIONES FEDERALES ,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,JOSÉ AZUETA,BANOBRAS,CRÉDITO SIMPLE,04/13/2005,04/27/2005,9800000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,RAFAEL DELGADO,BANOBRAS,CRÉDITO SIMPLE,04/15/2005,04/27/2005,5000000,0,120,INGRESOS PROPIOS,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,PASO DE OVEJAS,BANOBRAS,CRÉDITO SIMPLE,04/08/2005,05/09/2005,10400000,96061.88,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,ZAPOTLANEJO,BANOBRAS,CRÉDITO SIMPLE,05/04/2005,05/18/2005,17600000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,XALISCO,BANOBRAS,CRÉDITO SIMPLE,02/14/2005,05/31/2005,2000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
SONORA,NAVOJOA,BANORTE,CRÉDITO SIMPLE,05/19/2005,06/01/2005,98500000,0,180,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
VERACRUZ,NAOLINCO,BANOBRAS,CRÉDITO SIMPLE,05/25/2005,06/01/2005,5000000,44607.79,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,07/11/2005,07/12/2005,1750000000,1193674140.41209,264,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,TIZAPAN EL ALTO,BANOBRAS,CRÉDITO SIMPLE,05/31/2005,07/12/2005,3044983,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
COAHUILA,RAMOS ARIZPE,BANOBRAS,CRÉDITO SIMPLE,08/05/2005,08/09/2005,27770000,257129.59,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,LA YESCA,BANOBRAS,CRÉDITO SIMPLE,06/24/2005,08/10/2005,6750000,57203.37,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,NOGALES,BANOBRAS,CRÉDITO SIMPLE,08/04/2005,08/10/2005,13400000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,TLAPACOYAN,BANOBRAS,CRÉDITO SIMPLE,08/04/2005,08/10/2005,20300000,354067.8,114,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,CAMERINO Z. MENDOZA,BANOBRAS,CRÉDITO SIMPLE,08/11/2005,08/23/2005,14200000,258181.72,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,JESUS MARIA,BANOBRAS,CRÉDITO SIMPLE,09/30/2004,08/25/2005,6000000,153026.359999999,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,SAN MIGUEL DE ALLENDE,BANOBRAS,CRÉDITO SIMPLE,07/28/2005,08/29/2005,16516470,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
NAYARIT,ACAPONETA,BANOBRAS,CRÉDITO SIMPLE,08/23/2005,09/13/2005,2050000,17824.87,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
