Aguascalientes,2.7,0.3,0.5,0.9,0.7,1.2,0.9,1.9,1.9,2.2,1.8,2.0,1.9,1.9,1.7,1.7
Baja California,2.6,0.9,1.0,1.0,1.1,1.3,1.4,1.6,1.7,2.5,2.6,2.9,3.0,3.1,3.4,3.1
Baja California Sur,4.5,2.3,2.1,1.3,1.0,1.0,0.9,0.8,0.8,2.2,2.1,1.7,1.5,2.1,1.9,1.7
Campeche,3.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2
Coahuila ,1.4,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.5,0.5,2.0,7.8,7.1,6.9,6.5,6.5
Colima,2.7,0.8,1.1,1.1,0.9,1.2,1.6,1.4,1.5,1.9,1.8,2.8,2.5,3.1,2.9,2.7
Chiapas,4.3,1.1,1.0,0.6,0.7,0.9,0.5,3.2,3.4,4.4,3.5,5.5,6.0,7.6,6.8,6.2
Chihuahua,1.8,0.7,0.6,1.9,2.4,2.1,2.3,2.1,1.8,4.0,3.6,4.6,5.6,9.5,9.2,8.6
Distrito Federal,0.5,2.8,2.9,3.1,2.8,2.7,2.5,2.3,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.2
Durango,3.2,2.0,1.8,1.8,2.4,2.4,2.2,2.0,2.2,2.5,2.4,2.6,2.3,2.6,2.9,2.7
Guanajuato,0.9,0.3,0.3,0.4,0.5,0.6,0.5,0.8,0.8,1.5,1.6,1.6,1.4,1.4,1.3,1.2
Guerrero,2.1,1.7,1.5,1.7,1.8,1.4,1.5,1.3,1.0,1.7,1.9,1.7,1.4,1.6,1.3,1.2
Hidalgo,0.1,0.7,1.0,1.2,0.9,1.8,1.5,1.5,1.3,2.2,2.0,1.7,1.4,1.6,1.7,1.6
Jalisco,3.3,1.4,1.6,1.2,1.2,1.4,1.4,1.2,1.6,2.8,2.8,2.8,2.7,2.7,2.6,2.3
México,3.6,5.1,5.6,4.6,4.0,3.9,3.6,3.3,3.1,3.1,3.2,3.0,2.9,2.7,2.6,2.4
Michoacán,0.8,0.2,0.1,0.9,0.8,1.3,1.2,2.6,2.4,2.8,3.4,4.5,4.4,4.3,4.5,4.2
Morelos,0.8,0.6,0.6,0.9,0.8,0.8,0.6,0.5,0.4,0.3,0.9,1.7,1.6,2.5,3.0,2.7
Nayarit,2.6,0.4,0.3,0.2,0.5,0.6,0.8,0.9,2.0,2.8,3.7,6.0,6.5,6.3,5.9,5.4
Nuevo León,2.7,2.3,2.1,1.7,1.6,1.9,2.4,2.2,2.1,3.3,3.7,3.9,4.4,4.7,5.2,4.9
Oaxaca,1.2,0.3,0.4,0.5,0.4,0.4,0.9,2.5,2.5,2.5,2.3,2.4,2.3,4.2,4.1,3.8
Puebla,0.4,0.5,0.5,1.2,1.2,1.0,1.0,1.8,1.7,1.8,2.3,2.1,1.9,1.8,1.7,1.5
Querétaro,6.7,1.5,1.4,1.2,1.1,1.1,0.9,0.9,0.9,1.0,0.9,0.8,0.6,0.5,0.5,0.5
Quintana Roo,2.7,1.2,1.5,1.4,1.7,1.5,1.3,1.5,1.5,2.1,5.3,6.4,6.6,7.4,8.6,8.4
San Luis Potosí,1.5,0.9,1.5,0.9,1.8,1.3,1.4,1.4,1.3,2.1,2.0,1.7,1.6,1.5,1.4,1.3
Sinaloa,3.1,2.8,2.9,2.0,1.8,2.2,2.1,2.0,1.8,1.7,1.8,1.8,2.4,2.4,2.2,2.0
Sonora,9.0,3.6,3.5,2.9,2.6,2.4,2.2,2.3,3.5,3.5,4.9,3.5,3.4,3.7,4.2,4.0
Tabasco,3.1,0.9,0.8,0.4,0.3,0.3,0.2,1.5,0.6,0.6,0.6,0.6,0.9,1.0,0.9,0.8
Tamaulipas,1.0,0.4,0.2,0.3,0.5,0.3,0.2,0.4,0.4,1.8,2.5,2.7,2.4,2.3,2.4,2.3
Tlaxcala,2.1,0.0,0.0,0.0,0.0,0.4,0.3,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
Veracruz,0.6,0.5,1.2,0.5,0.9,0.8,1.1,1.3,1.5,1.5,3.1,3.8,4.9,5.0,4.7,4.4
Yucatán,1.8,0.2,0.7,0.8,0.6,0.5,0.5,0.3,0.4,1.2,1.0,1.2,1.1,1.1,1.0,0.9
Zacatecas,1.2,0.0,0.5,0.7,0.6,0.4,0.3,0.2,0.7,0.5,0.5,2.2,2.9,3.6,4.0,3.8
