Entidad,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Marzo 2015
Aguascalientes ,283.6,364,307.5,339.2,287,197.3,163.5,140.8,207.3,343.3,711.3,621,1110,958.4,2347.4,2440.2,2816.1,2603.1,3076.70181544,3155.91540061,3257.75377685,3116.62331844,3246.17482761
Baja California,478.1,999.6,960.3,1214.3,1380.3,1611.9,1641.8,1775.4,1703.5,1987.5,2503.2,3161.1,3928.4,4556,5809.9,6438.2,8895.2,9490.8,11450.742792,12762.161942,13456.183658,15944.314782,15802.190826
Baja California Sur,260.8,304.3,296.8,350.6,450.4,472.2,517.4,592.1,700.1,689.8,602.8,572.3,637.5,647.9,662.3,731,2015.4,2030.8,1799.99817204,1687.66254434,2483.81049271,2380.41816217,2285.7553395
Campeche,127.1,499,460.9,518.1,419.2,221.8,148.5,111.3,82.2,21.7,0,20.5,55.7,0,56.4,35,0,328.6,1010.87596071,1115.14337202,998.48872008,1728.55850962,1662.12395387
Coahuila ,248.9,515.5,926,1116.4,593.5,649,786.5,802.9,712.8,607.3,261.3,273,323.2,420,486.9,1831.9,1561.6,8267.1,36509.55890471,36421.67382408,35543.76376694,34861.751699389,37214.2309053646
Colima,104.3,191.9,263.4,291,237.1,185.9,208.1,181.6,223.4,342.9,509.2,437.2,593.1,889.7,901.6,1068,1270,1303.9,2222.9667802,2138.72931675,2777.75130244,2710.21379354,2713.22874404
Chiapas,212.3,1024.7,992,1088.1,961.6,1067.3,1021.8,998.6,946.8,926.9,887.7,1062.9,1416,881.7,6005.4,7069.9,9215,8236.2,14225.86299213,16412.929915199,20826.4182467256,20140.0223847469,19852.077166466
Chihuahua  ,2071.5,2511.8,2722,3037.6,3178.4,3068.8,2915.3,2766.4,2696.3,4064,4016.3,5664.6,5534.4,6896.7,6623.3,6300.6,13183,12547,17318.59818899,23284.81655577,41768.20963611,41894.26446449,41926.57947303
Distrito Federal,960.6,1473.3,2465.4,7390.4,11789.2,20366.5,22962.1,28718.1,32788.5,38284.9,41634,42310,43527.4,44085.9,44079.5,45579.6,47529.5,52578.5,56232.1511279198,58773.8188022998,62962.5024313885,66881.5380823685,65765.772076408
Durango,296.7,552,462.3,606.7,713.9,838.1,860.4,998.1,1345.9,1314.6,1778,2592.2,2710,2680.9,2692.1,3153.3,3643.7,3697.7,4425.469796789,4263.60164621,4952.95943429,5837.70815049,5816.87013269
